e2999f009c61942b90baae094f9842d151d0a70a,2024-03-20,fix lane line bug (#681)
e7c1f475d944ee0aba7d7ada52938ea71073567f,2024-03-01,Add more examples for semantic observation/sensor in docs (#669)
6578760c3d53da9d48ea7781b1fb3ec66db29d2e,2024-03-01,Add prefix to object before spawning to avoid object registered twice in engine (#659)
27f5e71e1cb505cdbeb6397d63f9ebb4a69dcb22,2024-03-02,PGMap: customizable starting point (#667)
65d17aa7837e3425ba495d68ef9ffda3e36a715d,2024-02-24,Fix test (#662)
905fbdd4a0a1a46cf9ad2b795313a42362d32e93,2024-02-24,Fix light (#661)
5ca5bb80e50f1083da36b8e830f896bff13adcdd,2024-02-22,Set default sensor (camera) offset to avoid the camera being inside the objects (#658)
6504392af472da97774e3c916420410e401e7940,2024-02-21,Memory leak when rendering (camera / UI) in PG map with multiple scenarios (#656)
c326ae5f6b409ed90d2bcda8b5bc12689c8c03b5,2024-02-21,Fix example (#657)
fc04519ff124670575eb3bba5cb9ea53587c3167,2024-02-19,Issues in headless / offscreen rendering; add example (#644)
c83e613f0ccb11116b214e45c1971e20a3d9f7d2,2024-02-17,Fix memeory leak (#640)
972b1ae4c864eb4f0769d68df1abaf4ffc4e5e16,2024-02-17,trigger ScenarioNet test when update MetaDrive (#648)
1ff8725ee694d602dab861576176273047f99712,2024-02-17,Fix scenarionet sim (#647)
2d54e5a6aeea98d66547f10dc307f214571dc8a6,2024-02-13,Fix the BEV image: the black background and wrong heading when `target_agent_heading_up=True` (#646)
a4da4c1672bce43fd369e1cc3a1cfd6d3257f8ae,2024-02-12,Deprecate the resource expensive read_summary pipeline (#639)
ffdb1e7e57b020c3c1aaa23f6306b9a97d447f20,2024-02-12,Introduce route completion for PG map (#638)
a369fd1116095474bc6d1869c46daa5464ec3ae8,2024-02-12,Fix work groups of depth compute shader (#633)
13ae40893b4ca8360d8b03681e5bc308d9a57c18,2024-02-12,Remove docstring coverage bot comment (#637)
637a2213c545d33d88cb42479b20fec07e65d345,2024-02-06,Update doc: how to development a new environment (#631)
01e7f89f3a8b03185832e5ce9de5b65e950b1b7b,2024-02-04,Unpin numpy and gymnasium (#630)
eea6a952fcd551ae7f0c0691c58e22810912b8b2,2024-01-29,Fix minor issue in gym_wrapper (#628)
118054333a0229c73c3bc5fb6d0c78e813f21809,2024-01-29,Fix minor issues in MARL envs (#627)
4d8aa5917c9c81bc4093d0bd1ab45a1fccd1b338,2024-01-27,Update README.md (#625)
4dedd14cba2711c68f1700e610408109b05a9953,2024-01-27,Fix test (#624)
b65a558d8b7ad8f1922444e52aaca02802d302d7,2024-01-27,Make the apperance and physics body consistent for lane lines (#623)
c54528925ccfaa6967056fa08cc0f7f505366b94,2024-01-26,Releases/0.4.2.3 (#622)
10e413f6d7c30ee57bdc64394d05464a42a382fa,2024-01-25,Update description about MetaDrive (#618)
2949cd1453ee77260b5cd63c09097d3736aaa351,2024-01-24,Fix Xbox controller; introduce Takeover policy w/o brake (#615)
08b8b92baa0d818c2c6355cec3d005eb5c2e6e9a,2024-01-24,Fix static obj (#616)
acb47a105eb885e190062b2dcdf4e0d4b853d4e5,2024-01-23,Fix issue on human-in-the-loop env (#613)
b1ed015f98bb37e2f33e08c68ee843f1855ac198,2024-01-22,Fix agentManager (#610)
32fc74e25aea56ccc030a7ea0b602b277893623b,2024-01-22,Update default argument for TopDownRenderer  (#609)
fb53a72feb28b814118c306082429e76f1fa2dd0,2024-01-22,Render() should be called after engine.after_step() to make sure consistency (#608)
bc162e1b423bd194a58ef2269103f1bcea5f53c7,2024-01-21,Fix pull_asset (#607)
8d08034e7cfa6504c1942bb4b5aaeb703d4b204f,2024-01-21,Release 0.4.2.2 (#606)
c7709b3023f61a452a30f2d7f1139a2026aec53c,2024-01-21,Update the documentation related to the Scenario Description (SD); bug fixes in SD and pull_assets (#605)
3adbe2477ed01e208d8c8d20a297c0181558b6e2,2024-01-20,release 0.4.2.1 (#604)
8a6a950120035c413a101cf761035eec85f42507,2024-01-19,release new version (#602)
eaa3f9df2a82b3b67a2b36225c2c0a6b7d0a0f3e,2024-01-19,Fix birdeye view (#601)
e43692cdd58ca6bef5e5a11e3084f505ce4858ce,2024-01-19,fix test (#600)
c1431f5ed03c816d18a4be0978ebf52f1db78b5b,2024-01-18,Sumo integration (#598)
6d52930d6528f001bdceb243b43d5425aeb9882f,2024-01-15,Add support for integrating sumo map (#597)
9276a2cc3a149614d528e7e2a36c9d7a1307fb50,2024-01-07,it should raise error (#594)
ca2a869cac423dd6c44b394c6f3976797ad29267,2024-01-07,Update doc for sensors (#593)
53c093c406433a5c79600571a68096c5caf469a2,2024-01-06,More sensor example (#592)
6d201d702feadc0d5390d096c763f0d4f7f4a9ca,2023-12-29,Fix sensor test (#590)
7da9c67d5f9b3332a820124b50e1118f906b1a0d,2023-12-28,Fix memory leak when calling reset and close repeatedly (#589)
6de3554cb5af00ce1b8b68d28f20d2e1e6ee12e6,2023-12-25,Fix .ipynb example (#588)
606ae8ad47cb636de6f577b1af2149434d174a15,2023-12-24,Update doc: Top-down renderer (#587)
d9cd92edbd7f5faa2e21a17f48df9d9d1f239ba6,2023-12-23,Use multi-pass rendering for sensors (#585)
e1f4b9479b01dab45831ed3697453375314a432b,2023-12-19,Add test for checking rendering when installed from pip+git  (#584)
de63064038ddd94e37d4110a8af9a2ec4c49ca81,2023-12-19,Include .glsl in simplepbr (#583)
126d6d068fa9f4a94db30aac0a5c62c2d85083d2,2023-12-12,Apply model transformation to PSSM vertex (#580)
231c91ee53b1ea9177d14a09e1614231c7ef37c2,2023-12-12,add torch expert (#578)
f247bdd3781790bfbd887427f396cd578cfc110f,2023-12-11,Remaking the SimplePBR pipeline with PSSM Shadow (#577)
b8a66c92ac34a5f80944b41600fed08d8e3a90ee,2023-12-07,Fix contact bug (#574)
73187f6f2447f0cb2960db0d409bec02ee4e0f8c,2023-12-05,Update the simulation section (#572)
e001457656eddf3122682eb262fc8705d656a979,2023-12-02,fix broken links (#570)
f9f1a79cc01cf5df06b378cd91906e59ae6007d7,2023-12-02,Show lane line in semantic camera (#569)
b7b5b1ea1e20e59fb489af9ede74708ac91b9202,2023-11-30,fix ipynb (#568)
bb145cf92380d780d2888df7bc29e9544a11aab9,2023-11-30,Documentation completion (#552)
9a89962e72c709e60d4a5bc19ce5f27d96027401,2023-11-22,Finalizing the MetaDrive MultiAgentRacingEnv (#563)
1429251b0a21cbffafcb36d63bead73fa4773a6c,2023-11-18,Introducing the Multi-agent Racing environment (#559)
55ab1a772f1f2ac613e907b3a87e8fee02f4242b,2023-11-16,Fix the example for generating videos (#555)
0df2f979e97e39282b3634a7984a2e20c77e4263,2023-11-14,Cleanup (#551)
19ade86708c92992adf554e49d815d5162a48f02,2023-11-13,Perception (#547)
cc3ad2ee9094fbbbef0b8cce351dfb9fe2f6852e,2023-11-09,Crosswalk is available now. (#549)
0d437097399b0b5cb7cde32880da30673eb8b435,2023-11-05,Set default contact result to unset (#546)
62353d630afff00ec7352c481d25204f5c652e28,2023-11-05,Add sidewalk support for real-world env (#545)
81ce062e80e9ce3dd8f1a4692f16eb45d3e8a43c,2023-11-03,Fix terrain shader on windows (#542)
845af2d3669c5716a66d5ba82753566d339adfd8,2023-11-02,fix the wrong normal mapping (#541)
b8d32786d2668eb6874ec7e764e309a042050169,2023-11-01,Update README.md (#538)
37bfbbf9f14397298d24d8e60aa6f0fe159a090c,2023-10-29,Use full size mesh terrain (#537)
2ac7bcbb18d486744598f960143a6446390fe5ff,2023-10-28,Fix the terrain missing bug by increasing the chunk size (#536)
f09148daf6deacea6b1900153946413aa2304d26,2023-10-28,Mesh terrain (#535)
ad7d2cb7f73defa5327f7dfe0e36acb1d1e61a8b,2023-10-27,Ignore images generated by test (#533)
bee52c5e41675eb1192888cbacfba53433b4ceda,2023-10-27,Remake terrain (#531)
6369b7057543ab0e71c3cd51f3d0a41200fa4e16,2023-10-26,Fix vis block (#528)
13c934bc3872caa033d458246a64abd73633bef6,2023-10-25,Add some docs to vis_block (#529)
41f60f9b7a053b9d4f4686e53a2cf88a57aad77a,2023-10-24,Sensor test (#527)
eabe10172d56e7f0efc53ad5750bad4278d178ef,2023-10-24,Add utilities for MetaDriveType (#526)
d3a34323217393d70d49481cf92ec38f4e0605a6,2023-10-23,Update webpage (#525)
32d7f42067fe97dfeecbc946dd6ef1cf54ca91d6,2023-10-20,try bypass docstring check (#521)
486f1903a8c20b40987b355c6fa19b8fd0018fb5,2023-10-20,Adding ROS Bridge   (#515)
c4d926eba12329c8450b0c01b88942c4d4db403b,2023-10-19,Hotfix github workflow (#519)
d07865f939d419b498f8d86ea90441233489b04f,2023-10-19,Add docstring checker in Workflow (#518)
aa3446da92b9683fa74b8b0b36bdffd1ee85c46c,2023-10-18,Fix the pull_asset code; Update minor docstring (#516)
ee8447ef00188aa91cdd29be3d9ec8ebfe4216ee,2023-10-18,Fix semantic camera bug (#514)
3a7c740365de186a044751c51d6646a6efcaf116,2023-10-18,Make TopDownMultiChannel support ScenarioEnv (#498)
653431be036c818e38856f0148789aea13c4f5fc,2023-10-04,Add pull asset hint (#510)
fb92adc02197f0aba72ba237c65fdded31a6116f,2023-10-04,Add connectiveity when saving to scenario description (#508)
72e842cd1d025bf676e4af8797a01e4aa282109f,2023-10-02,Escape backlashes in bottleneck.py (#504)
e47db1199c87a2de57e2fce0a45fdc4c4d1284b7,2023-10-01,ImageBuffer: prevent additional copy converting from RGBA to RGB (#503)
2f8379a789c97956a9acd994c11df4d07086796e,2023-09-22,Add more info to scenario description (#501)
d82de0d9a350e49021ea875599116fa5db6b67c0,2023-09-20,Top down semantic map (#499)
7d6f8ef707bfff67c6b88f3b4a98f8b1d58bf8e6,2023-09-12,Colab test (#495)
e2f1dc547a5cf03bf8e141ebbaab338a451ede49,2023-09-06,Fix doc & fix WorldLight (#492)
9b79a07a49bbf46e15fc592423df7efb2e18f049,2023-09-05,Align API for all sensors (#491)
bf59ebc65e66b911689f3db6f5307ff0a7682abe,2023-08-25,Sync Linux Update (#488)
206f575a2dc7eefb5909e3f3422c72c9af513d7a,2023-08-22,Fix colab (#487)
